question,text
Did the Qwerty keyboard layout predate computers?,"Context1: QWERTY - History, Evolution, and Why Is It the Way It Is?: The QWERTY keyboard was introduced by American inventor and newspaper publisher, Christopher Latham Sholes. Sholes developed a number of
Question: Did the Qwerty keyboard layout predate computers?
Are follow up questions needed here: Yes.
Follow up: When was the Qwerty keyboard layout invented?"
Did the Qwerty keyboard layout predate computers?,"Context1: QWERTY: QWERTY is a keyboard layout for Latin-script alphabets. The name comes from the order of the first six keys on the top left letter row of the keyboard ( Q W
Context2: 1870s: The QWERTY layout was devised and created in the early 1870s by Christopher Latham Sholes, a newspaper editor and printer who lived in Kenosha, Wisconsin.
Question: Did the Qwerty keyboard layout predate computers?
Are follow up questions needed here: Yes.
Follow up: When was the Qwerty keyboard layout invented?
Intermediate answer: The Qwerty keyboard layout was invented in 1868.
Follow up: When was the first computer invented?"
Did the Qwerty keyboard layout predate computers?,"Context1: QWERTY - History, Evolution, and Why Is It the Way It Is?: The QWERTY keyboard was introduced by American inventor and newspaper publisher, Christopher Latham Sholes. Sholes developed a number of
Context2: Rahul Dravid: Rahul Sharad Dravid is an Indian cricket coach and former captain of the Indian national team, currently serving as its head coach. Prior to his appointment
Context3: Timeline of computing 1950–1979: This article presents a detailed timeline of events in the history of computing from 1950 to 1979. For narratives explaining the overall developments,
Question: Did the Qwerty keyboard layout predate computers?
Are follow up questions needed here: Yes.
Follow up: When was the Qwerty keyboard layout invented?
Intermediate answer: The Qwerty keyboard layout was invented in 1868.
Follow up: When was the first computer invented?
Intermediate answer: The first computer was invented in 1946.
Follow up: Is 1868 before 1946?"
Did the Qwerty keyboard layout predate computers?,"Context1: QWERTY - History, Evolution, and Why Is It the Way It Is?: The QWERTY keyboard was introduced by American inventor and newspaper publisher, Christopher Latham Sholes. Sholes developed a number of
Context2: 1870s: The QWERTY layout was devised and created in the early 1870s by Christopher Latham Sholes, a newspaper editor and printer who lived in Kenosha, Wisconsin.
Context3: Timeline of computing 1950–1979: This article presents a detailed timeline of events in the history of computing from 1950 to 1979. For narratives explaining the overall developments,
Context4: Great Britain at the Olympics: It is the only national team to have won at least one gold medal at every Summer Games, lying third globally in the winning of total medals, surpassed only by
Question: Did the Qwerty keyboard layout predate computers?
Are follow up questions needed here: Yes.
Follow up: When was the Qwerty keyboard layout invented?
Intermediate answer: The Qwerty keyboard layout was invented in 1868.
Follow up: When was the first computer invented?
Intermediate answer: The first computer was invented in 1946.
Follow up: Is 1868 before 1946?
Intermediate answer: Yes, 1868 is before 1946.
So the final answer is: Yes.
###"
Does ontology require a scalpel?,"Context1: Ontology: In metaphysics, ontology is the philosophical study of being, as well as related concepts such as existence, becoming, and reality.
Question: Does ontology require a scalpel?
Are follow up questions needed here: Yes.
Follow up: What is ontology?"
Does ontology require a scalpel?,"Context1: Computational Science and Its Applications -- ICCSA 2012: : As in steganography, information about start of file can help to determine the slack space which is  File Allocation Table, http://en.wikipedia.org/wiki/
Context2: Bugs Bunny: Bugs is best known for his featured roles in the Looney Tunes and Merrie Melodies series of animated short films, produced by Warner Bros.
Question: Does ontology require a scalpel?
Are follow up questions needed here: Yes.
Follow up: What is ontology?
Intermediate answer: Ontology is the philosophical study of the nature of being, becoming, existence, or reality.
Follow up: What is a scalpel?"
Does ontology require a scalpel?,"Context1: Ontology: In metaphysics, ontology is the philosophical study of being, as well as related concepts such as existence, becoming, and reality.
Context2: Category:Ontology: Ontology is the philosophical study of the nature of being, becoming, existence, or reality, as well as the basic categories of being and their relations.
Context3: Scalpel Definition & Meaning: The meaning of SCALPEL is a small straight thin-bladed knife used especially in surgery.
Question: Does ontology require a scalpel?
Are follow up questions needed here: Yes.
Follow up: What is ontology?
Intermediate answer: Ontology is the philosophical study of the nature of being, becoming, existence, or reality.
Follow up: What is a scalpel?
Intermediate answer: A scalpel is a small and extremely sharp bladed instrument used for surgery, anatomical dissection, and various arts and crafts.
Follow up: Is ontology a small and extremely sharp bladed instrument used for surgery, anatomical dissection, and various arts and crafts?"
Does ontology require a scalpel?,"Context1: Ontology: In metaphysics, ontology is the philosophical study of being, as well as related concepts such as existence, becoming, and reality.
Context2: Category:Ontology: Ontology is the philosophical study of the nature of being, becoming, existence, or reality, as well as the basic categories of being and their relations.
Context3: Scalpel: A scalpel, lancet, or bistoury is a small and extremely sharp bladed instrument used for surgery, anatomical dissection, podiatry and various arts and crafts (either called a hobby knife or an X-acto knife). Scalpels may be single-use disposable or re-usable.
Context4: Untitled: #Pablo Ontology-driven software development, Cadence garmin 405 software, Quicktime for windows cnet downloads! Planilla de computo y presupuesto procrear
Question: Does ontology require a scalpel?
Are follow up questions needed here: Yes.
Follow up: What is ontology?
Intermediate answer: Ontology is the philosophical study of the nature of being, becoming, existence, or reality.
Follow up: What is a scalpel?
Intermediate answer: A scalpel is a small and extremely sharp bladed instrument used for surgery, anatomical dissection, and various arts and crafts.
Follow up: Is ontology a small and extremely sharp bladed instrument used for surgery, anatomical dissection, and various arts and crafts?
Intermediate answer: No.
So the final answer is: No.
###"
Did George Washington drive a Lexus?,"Context1: Sable: [['Sable'], ['Class:', 'Mammalia'], ['Order:', 'Carnivora'], ['Family:', 'Mustelidae'], ['Genus:', 'Martes']]
Question: Did George Washington drive a Lexus?
Are follow up questions needed here: Yes.
Follow up: When did George Washington live?"
Did George Washington drive a Lexus?,"Context1: Lexus: Lexus (レクサス, Rekusasu) is the luxury vehicle division of the Japanese automaker Toyota. The Lexus brand is marketed in more than 90 countries and
Context2: Snickers: The Snickers chocolate bar consists of nougat, peanuts, and caramel with a chocolate coating. The bar was marketed under the name ""Marathon"" in the UK and
Question: Did George Washington drive a Lexus?
Are follow up questions needed here: Yes.
Follow up: When did George Washington live?
Intermediate answer: George Washington lived from 1732 to 1799.
Follow up: When was the Lexus invented?"
Did George Washington drive a Lexus?,"Context1: Scurvy: Scurvy is a disease resulting from a lack of vitamin C (ascorbic acid). Early symptoms of deficiency include weakness, fatigue, and sore arms and legs.
Context2: George Washington: [['George Washington'], ['Constituency', 'Frederick County (1758–1765) Fairfax County (1765–1775)'], ['Personal details'], ['Born', 'February 22, 1732 [O.S. February 11, 1731] Popes Creek, Virginia Colony, British America'], ['Died', 'December 14, 1799 (aged 67) Mount Vernon, Virginia, U.S.']]
Context3: Jack Black - Simple English Wikipedia, the free encyclopedia: [['Jack Black'], ['Born', 'Thomas Jacob Black August 28, 1969 Santa Monica, California, U.S.'], ['Occupation', 'Actor comedian musician'], ['Years active', '1982–present'], ['Height', '168 cm (5 ft 6 in)']]
Question: Did George Washington drive a Lexus?
Are follow up questions needed here: Yes.
Follow up: When did George Washington live?
Intermediate answer: George Washington lived from 1732 to 1799.
Follow up: When was the Lexus invented?
Intermediate answer: The Lexus was invented in 1989.
Follow up: Is 1799 before 1989?"
Did George Washington drive a Lexus?,"Context1: Mercedes-Benz: Mercedes-Benz commonly referred to as Mercedes and sometimes as Benz, is a German luxury and commercial vehicle automotive brand established in 1926.
Context2: George Washington: [['George Washington'], ['Constituency', 'Frederick County (1758–1765) Fairfax County (1765–1775)'], ['Personal details'], ['Born', 'February 22, 1732 [O.S. February 11, 1731] Popes Creek, Virginia Colony, British America'], ['Died', 'December 14, 1799 (aged 67) Mount Vernon, Virginia, U.S.']]
Context3: Toyota: It was founded by Kiichiro Toyoda and incorporated on August 28, 1937 (1937-08-28). Toyota is one of the largest automobile manufacturers in the world,
Context4: Smooth jazz: Smooth jazz is a genre of commercially oriented crossover jazz and easy listening music that became dominant in the mid-1970s to the early 1990s.
Question: Did George Washington drive a Lexus?
Are follow up questions needed here: Yes.
Follow up: When did George Washington live?
Intermediate answer: George Washington lived from 1732 to 1799.
Follow up: When was the Lexus invented?
Intermediate answer: The Lexus was invented in 1989.
Follow up: Is 1799 before 1989?
Intermediate answer: Yes, 1799 is before 1989.
So the final answer is: No.
###"
Can a lemon aggravate dyspepsia?,"Context1: Indigestion: Indigestion, also known as dyspepsia or upset stomach, is a condition of impaired digestion. Symptoms may include upper abdominal fullness, heartburn,
Question: Can a lemon aggravate dyspepsia?
Are follow up questions needed here: Yes.
Follow up: What is dyspepsia?"
Can a lemon aggravate dyspepsia?,"Context1: Lemon Water for Acid Reflux: What You Should Know: Some experts say that lemon and other citrus fruit increase the severity of acid reflux symptoms. Others tout the benefits of “home remedies” using lemon water.
Context2: Indigestion - Symptoms and causes: Indigestion — also called dyspepsia or an upset stomach — is discomfort in your upper abdomen. Indigestion describes certain symptoms,
Question: Can a lemon aggravate dyspepsia?
Are follow up questions needed here: Yes.
Follow up: What is dyspepsia?
Intermediate answer: Dyspepsia is a condition that causes indigestion.
Follow up: What is indigestion?"
Can a lemon aggravate dyspepsia?,"Context1: Lemon Water for Acid Reflux: What You Should Know: Some experts say that lemon and other citrus fruit increase the severity of acid reflux symptoms. Others tout the benefits of “home remedies” using lemon water.
Context2: 3: For the keyboard symbols, see List of emoticons. 3 (three) is a number, numeral and digit. It is the natural number following 2 and preceding 4, and is the smallest  wins a match while scoring at least three more tries than its opponent.
Context3: Tag team: The basic tag team match has two teams of two wrestlers facing off against each other. All standard rules for singles wrestling apply to a team match. However,
Question: Can a lemon aggravate dyspepsia?
Are follow up questions needed here: Yes.
Follow up: What is dyspepsia?
Intermediate answer: Dyspepsia is a condition that causes indigestion.
Follow up: What is indigestion?
Intermediate answer: Indigestion is a condition that causes stomach pain.
Follow up: Can a lemon cause stomach pain?"
Can a lemon aggravate dyspepsia?,"Context1: List of countries by population in 1600: [{'country_territory': 'World', 'population_c_1600_estimate': '579,000,000', 'percentage_of_world_population': '–'}, {'country_territory': '', 'population_c_1600_estimate': '27,000,000+ – 34,000,000+', 'percentage_of_world_population': '5.2%'}, {'country_territory': '', 'population_c_1600_estimate': '28,745,000', 'percentage_of_world_population': '5.0%'}]
Context2: Giant panda: Wild population estimates vary; one estimate shows that there are about 1,590 individuals living in the wild, while a 2006 study via DNA analysis estimated that this figure could be as high as 2,000 to 3,000.
Context3: indigestion: indigestion (usually uncountable, plural indigestions). A condition of heartburn, nausea, etc. most often caused by eating too quickly.
Context4: Citric acid: Inhalation may cause cough, shortness of breath, or sore throat. Over-ingestion may cause abdominal pain and sore throat.
Question: Can a lemon aggravate dyspepsia?
Are follow up questions needed here: Yes.
Follow up: What is dyspepsia?
Intermediate answer: Dyspepsia is a condition that causes indigestion.
Follow up: What is indigestion?
Intermediate answer: Indigestion is a condition that causes stomach pain.
Follow up: Can a lemon cause stomach pain?
Intermediate answer: Yes, a lemon can cause stomach pain.
So the final answer is: Yes.
###"
Can Hulk's alter ego explain atomic events?,"Context1: Hulk: Commonly portrayed as a raging savage, the Hulk has been represented with other alter egos, from a mindless, destructive force (War), to a brilliant warrior (
Question: Can Hulk's alter ego explain atomic events?
Are follow up questions needed here: Yes.
Follow up: What is Hulk's alter ego?"
Can Hulk's alter ego explain atomic events?,"Context1: Hulk: Commonly portrayed as a raging savage, the Hulk has been represented with other alter egos, from a mindless, destructive force (War), to a brilliant warrior (
Context2: Hulk: Lee gave the Hulk's alter ego the alliterative name ""Bruce Banner"" because he found he had less difficulty remembering alliterative names. Despite this, in later stories he misremembered the character's name and referred to him as ""Bob Banner"", an error which readers quickly picked up on.
Question: Can Hulk's alter ego explain atomic events?
Are follow up questions needed here: Yes.
Follow up: What is Hulk's alter ego?
Intermediate answer: Hulk's alter ego is Bruce Banner.
Follow up: What is Bruce Banner's occupation?"
Can Hulk's alter ego explain atomic events?,"Context1: Incredible Hulk | Creators, Stories, TV Show, & Films: Incredible Hulk, American comic strip character created for Marvel Comics by writer Stan Lee and  What is the name of the Incredible Hulk's alter ego?
Context2: Bruce Banner | Hulk Wiki | Fandom: Banner is the human alter ego of The Hulk. He is a renowned physicist who subjected himself to a gamma radiation experiment, which unleashes his alter-ego
Context3: Nike, Inc.: In March 2017, Nike announced its launch of a plus-size clothing line, which will feature new sizes 1X through 3X on more than 200 products. Another significant
Question: Can Hulk's alter ego explain atomic events?
Are follow up questions needed here: Yes.
Follow up: What is Hulk's alter ego?
Intermediate answer: Hulk's alter ego is Bruce Banner.
Follow up: What is Bruce Banner's occupation?
Intermediate answer: Bruce Banner is a physicist.
Follow up: Can physicists explain atomic events?"
Can Hulk's alter ego explain atomic events?,"Context1: Hulk: Commonly portrayed as a raging savage, the Hulk has been represented with other alter egos, from a mindless, destructive force (War), to a brilliant warrior (
Context2: Hulk: Lee gave the Hulk's alter ego the alliterative name ""Bruce Banner"" because he found he had less difficulty remembering alliterative names. Despite this, in later stories he misremembered the character's name and referred to him as ""Bob Banner"", an error which readers quickly picked up on.
Context3: War 2.0: Irregular Warfare in the Information Age: Mike Jackson, Operation Banner, vol.  The Inside Story of the Invasion and Occupation of Iraq, London: Atlantic Books, 2006, p. 66. 61.
Context4: Atomic physics: Physicists distinguish between atomic physics—which deals with the atom as a system consisting of a nucleus and electrons—and nuclear physics, which studies
Question: Can Hulk's alter ego explain atomic events?
Are follow up questions needed here: Yes.
Follow up: What is Hulk's alter ego?
Intermediate answer: Hulk's alter ego is Bruce Banner.
Follow up: What is Bruce Banner's occupation?
Intermediate answer: Bruce Banner is a physicist.
Follow up: Can physicists explain atomic events?
Intermediate answer: Yes, physicists can explain atomic events.
So the final answer is: Yes.
###"
Would a moose hypothetically be too much for a minotaur to devour whole?,"Context1: Minotaur: As the unnatural offspring of a woman and a beast, the Minotaur had no natural source of nourishment and thus devoured humans for sustenance.
Question: Would a moose hypothetically be too much for a minotaur to devour whole?
Are follow up questions needed here: Yes.
Follow up: How much does a moose weigh?"
Would a moose hypothetically be too much for a minotaur to devour whole?,"Context1: Minotaur: As the unnatural offspring of a woman and a beast, the Minotaur had no natural source of nourishment and thus devoured humans for sustenance.
Context2: Eastern moose: Males stand on average 1.7–2.0 m (5.6–6.6 ft) at the shoulder and weigh up to 634 kg (1,398 lb). Females stand on average 1.7 m (5.6 ft) at the shoulder and weigh on average 270–360 kg (600–790 lb). Eastern moose antlers have an average span of about 1.5 m (4.9 ft) across.
Question: Would a moose hypothetically be too much for a minotaur to devour whole?
Are follow up questions needed here: Yes.
Follow up: How much does a moose weigh?
Intermediate answer: A moose can weigh up to 1,800 pounds.
Follow up: How much does a minotaur weigh?"
Would a moose hypothetically be too much for a minotaur to devour whole?,"Context1: Untitled: Thomas rabitsch wikipedia, Gg chomikuj android, Sd worx antwerpen email,  Rotary gs03425, Roman calendar names of months, Saudi english full blast 3.
Context2: Moose Facts: The largest member of the deer family, adult male (bull) moose average 6 feet tall at the shoulder and can weigh as much as 1,400 pounds; females (cows) are
Context3: Minotaur - NetHack Wiki: A minotaur, H, is an especially deadly monster that appears in NetHack. They are carnivorous, humanoid animals that are notoriously
Question: Would a moose hypothetically be too much for a minotaur to devour whole?
Are follow up questions needed here: Yes.
Follow up: How much does a moose weigh?
Intermediate answer: A moose can weigh up to 1,800 pounds.
Follow up: How much does a minotaur weigh?
Intermediate answer: A minotaur can weigh up to 1,000 pounds.
Follow up: Is 1,800 pounds greater than 1,000 pounds?"
Would a moose hypothetically be too much for a minotaur to devour whole?,"Context1: Statue of Liberty National Monument: The Statue of Liberty is a world-famous symbol of freedom, given in 1886 by France to the United States in celebration of American Independence. Nearby Ellis Island was the first stop for millions of immigrants to the U.S. in the late 19th and early 20th centuries.
Context2: Moose Facts: The largest member of the deer family, adult male (bull) moose average 6 feet tall at the shoulder and can weigh as much as 1,400 pounds; females (cows) are
Context3: Minotaur - NetHack Wiki: A minotaur, H, is an especially deadly monster that appears in NetHack. They are carnivorous, humanoid animals that are notoriously
Context4: artist Bob Kane: The character was created by artist Bob Kane and writer Bill Finger, and debuted in the 27th issue of the comic book Detective Comics on March 30, 1939. In the DC Universe continuity, Batman is the alias of Bruce Wayne, a wealthy American playboy, philanthropist, and industrialist who resides in Gotham City.
Question: Would a moose hypothetically be too much for a minotaur to devour whole?
Are follow up questions needed here: Yes.
Follow up: How much does a moose weigh?
Intermediate answer: A moose can weigh up to 1,800 pounds.
Follow up: How much does a minotaur weigh?
Intermediate answer: A minotaur can weigh up to 1,000 pounds.
Follow up: Is 1,800 pounds greater than 1,000 pounds?
Intermediate answer: Yes, 1,800 pounds is greater than 1,000 pounds.
So the final answer is: Yes.
###"
Is it wise to feed a Snickers bar to a poodle?,"Context1: Snickers: Snickers is a chocolate bar consisting of nougat topped with caramel and peanuts, and all encased in milk chocolate. The bars are made by the American
Question: Is it wise to feed a Snickers bar to a poodle?
Are follow up questions needed here: Yes.
Follow up: What is a Snickers bar?"
Is it wise to feed a Snickers bar to a poodle?,"Context1: REVIEW: Lost Dogs and Lonely Hearts by Lucy Dillon: Rachel lost her lover, her job and her flat in one fell swoop and now finds herself out in the back of beyond sorting through her inheritance
Context2: Facts About SNICKERS® | Candy bar history and contact: The very first SNICKERS Bar, allegedly named after a horse, was manufactured in Chicago and sold for five cents. Package Snickers bar called MARATHON bar on
Question: Is it wise to feed a Snickers bar to a poodle?
Are follow up questions needed here: Yes.
Follow up: What is a Snickers bar?
Intermediate answer: A Snickers bar is a candy bar.
Follow up: Is it wise to feed a candy bar to a poodle?"
Is it wise to feed a Snickers bar to a poodle?,"Context1: Spotted hyena: The spotted hyena is a highly successful animal, being the most common large carnivore in Africa. Its success is due in part to its adaptability and opportunism; it is primarily a hunter but may also scavenge, with the capacity to eat and digest skin, bone and other animal waste.
Context2: Facts About SNICKERS® | Candy bar history and contact: The very first SNICKERS Bar, allegedly named after a horse, was manufactured in Chicago and sold for five cents. Package Snickers bar called MARATHON bar on
Context3: Hair iron: Curling irons, also known as curling tongs, create waves or curls in hair using a variety of different methods. There are many different types of modern curling irons, which can vary by diameter, material, and shape of barrel and the type of handle.
Question: Is it wise to feed a Snickers bar to a poodle?
Are follow up questions needed here: Yes.
Follow up: What is a Snickers bar?
Intermediate answer: A Snickers bar is a candy bar.
Follow up: Is it wise to feed a candy bar to a poodle?
Intermediate answer: No, it is not wise to feed a candy bar to a poodle.
So the final answer is: No.
###"
Do you need a farmer to make a circuit board?,"Context1: Electricity: Electricity is the set of physical phenomena associated with the presence and motion of matter that has a property of electric charge.
Question: Do you need a farmer to make a circuit board?
Are follow up questions needed here: Yes.
Follow up: What is a circuit board?"
Do you need a farmer to make a circuit board?,"Context1: Electricity: Electricity is the set of physical phenomena associated with the presence and motion of matter that has a property of electric charge.
Context2: printed circuit board: board to support and connect electronic components.
Question: Do you need a farmer to make a circuit board?
Are follow up questions needed here: Yes.
Follow up: What is a circuit board?
Intermediate answer: A circuit board is a board used to connect electronic components.
Follow up: What is a farmer?"
