question,text,10/Random
Question: when were the beatles formed,"Context1: The Beatles: Formed in Liverpool in 1960, the Beatles were a rock band that became one of the most successful and critically acclaimed groups in the history of music. The group consisted of John Lennon, Paul McCartney, George Harrison, and Ringo Starr.
Question: when were the beatles formed
Are follow up questions needed here: No.
So the final answer is: 1960 ###","[[(False, False)]]"
Question: when was to kill a mockingbird published,"Context1: To Kill a Mockingbird: Published in 1960, To Kill a Mockingbird is a novel by Harper Lee about growing up in the racially charged South during the Great Depression.
Question: when was to kill a mockingbird published
Are follow up questions needed here: No.
So the final answer is: 1960 ###","[[(False, False)]]"
Question: when was the hubble space telescope launched,"Context1: The Hubble Space Telescope: The Hubble Space Telescope is a large, space-based observatory, which has revolutionized astronomy since its launch in 1990 by providing unprecedented images of space and by allowing scientists to explore planets, stars, and galaxies.
Question: when was the hubble space telescope launched
Are follow up questions needed here: No.
So the final answer is: 1990 ###","[[(False, False)]]"
Question: who became emperor of the french after the french revolution,"Context1: Napoleon Bonaparte: Napoleon Bonaparte was a French military leader who rose to prominence during the French Revolution and led several successful campaigns during the Revolutionary Wars. He became Emperor of the French and dominated European and global affairs for more than a decade.
Question: who became emperor of the french after the french revolution
Are follow up questions needed here: No.
So the final answer is: Napoleon Bonaparte ###","[[(False, False)]]"
Question: who painted starry night,"Context1: Van Gogh: Vincent van Gogh was a Dutch Post-Impressionist painter who, after a decade of failed attempts, climaxed his work with Starry Night, painted just months before his tragic death.
Question: who painted starry night
Are follow up questions needed here: No.
So the final answer is: Vincent van Gogh ###","[[(False, False)]]"
Question: who invented coca-cola,"Context1: Coca-Cola: Coca-Cola, or Coke, is a carbonated soft drink manufactured by the Coca-Cola Company. Originally created in the late 19th century by John Stith Pemberton as a temperance drink, it was initially intended as a patent medicine.
Question: who invented coca-cola
Are follow up questions needed here: No.
So the final answer is: John Stith Pemberton ###","[[(False, False)]]"
Question: when did the titanic sink,"Context1: The Titanic: The RMS Titanic was a British passenger liner that sank in the North Atlantic Ocean in 1912 after striking an iceberg during her maiden voyage from Southampton to New York City.
Question: when did the titanic sink
Are follow up questions needed here: No.
So the final answer is: 1912 ###","[[(False, False)]]"
Question: who founded spacex,"Context1: SpaceX: SpaceX is an American aerospace manufacturer and space transportation company founded by Elon Musk in 2002 with the goal of reducing space transportation costs to enable the colonization of Mars.
Question: who founded spacex
Are follow up questions needed here: No.
So the final answer is: Elon Musk ###","[[(False, False)]]"
Question: who invented the first successful airplane,"Context1: The Wright Brothers: The Wright brothers, Orville and Wilbur, were two American aviation pioneers who are generally credited with inventing, building, and flying the world's first successful motor-operated airplane.
Question: who invented the first successful airplane
Are follow up questions needed here: No.
So the final answer is: The Wright brothers ###","[[(False, False)]]"
Question: where is the colosseum located,"Context1: The Colosseum: The Colosseum, an oval amphitheater in the center of the city of Rome, Italy, is the largest ancient amphitheater ever built, and is still the largest standing amphitheater in the world today, despite its age.
Question: where is the colosseum located
Are follow up questions needed here: No.
So the final answer is: Rome, Italy ###","[[(False, False)]]"
Question: when did the berlin wall fall,"Context1: The Berlin Wall: The Berlin Wall was a guarded concrete barrier that physically and ideologically divided Berlin from 1961 to 1989. It is one of the most significant and enduring symbols of the Cold War.
Question: when did the berlin wall fall
Are follow up questions needed here: No.
So the final answer is: 1989 ###","[[(False, False)]]"
Question: who was cleopatra's roman lover after julius caesar,"Context1: Cleopatra: Cleopatra VII Philopator was the last active ruler of the Ptolemaic Kingdom of Egypt. She is known for her relationships with Roman leaders Julius Caesar and Mark Antony.
Question: who was cleopatra's roman lover after julius caesar
Are follow up questions needed here: No.
So the final answer is: Mark Antony ###","[[(False, False)]]"
Question: who kills king duncan in macbeth,"Context1: Shakespeare's Macbeth: Macbeth is a tragedy by William Shakespeare about a Scottish general named Macbeth who, encouraged by his wife Lady Macbeth and the prophecies of three witches, murders King Duncan and takes the throne of Scotland.
Question: who kills king duncan in macbeth
Are follow up questions needed here: No.
So the final answer is: Macbeth ###","[[(False, False)]]"
Question: what was mahatma gandhi's method of protest,"Context1: Mahatma Gandhi: Mahatma Gandhi was an Indian lawyer, anti-colonial nationalist, and political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule.
Question: what was mahatma gandhi's method of protest
Are follow up questions needed here: No.
So the final answer is: Nonviolent resistance ###","[[(False, False)]]"
Question: who founded apple inc.,"Context1: Apple Inc.: Apple Inc. is an American multinational technology company headquartered in Cupertino, California. Founded in April 1976 by Steve Jobs, Steve Wozniak, and Ronald Wayne, the company designs, develops, and sells consumer electronics, software, and online services.
Question: who founded apple inc.
Are follow up questions needed here: No.
So the final answer is: Steve Jobs, Steve Wozniak, and Ronald Wayne ###","[[(False, False)]]"
Question: who wrote the lord of the rings,"Context1: The Lord of the Rings: The Lord of the Rings is an epic high-fantasy novel by J.R.R. Tolkien. The story began as a sequel to Tolkien's 1937 fantasy novel The Hobbit but eventually developed into a much larger work.
Question: who wrote the lord of the rings
Are follow up questions needed here: No.
So the final answer is: J.R.R. Tolkien ###","[[(False, False)]]"
Question: who authored the harry potter books,"Context1: Harry Potter Series: The Harry Potter series is a collection of fantasy novels written by British author J.K. Rowling. The series chronicles the life and trials of a young wizard, Harry Potter, and his friends.
Question: who authored the harry potter books
Are follow up questions needed here: No.
So the final answer is: J.K. Rowling ###","[[(False, False)]]"
Question: what is leonardo da vinci often called,"Context1: Leonardo da Vinci: Leonardo da Vinci was an Italian polymath whose areas of interest included invention, painting, sculpting, architecture, science, music, and mathematics. He is often referred to as a true 'Renaissance man'.
Question: what is leonardo da vinci often called
Are follow up questions needed here: No.
So the final answer is: A Renaissance man ###","[[(False, False)]]"
Question: who painted the ceiling of the sistine chapel,"Context1: The Sistine Chapel: The Sistine Chapel is a chapel in the Apostolic Palace, the official residence of the Pope, in Vatican City. Its ceiling was painted by the renowned artist Michelangelo.
Question: who painted the ceiling of the sistine chapel
Are follow up questions needed here: No.
So the final answer is: Michelangelo ###","[[(False, False)]]"
Question: where is stonehenge located,"Context1: Stonehenge: Stonehenge is a prehistoric monument in Wiltshire, England. It consists of a ring of standing stones, with each standing stone around 13 feet high, seven feet wide, and weighing approximately 25 tons.
Question: where is stonehenge located
Are follow up questions needed here: No.
So the final answer is: Wiltshire, England ###","[[(False, False)]]"
Question: who invented the world wide web,"Context1: World Wide Web: The World Wide Web, commonly known as the Web, is an information system where documents and other web resources are identified by URLs, which may be interlinked by hyperlinks, and are accessible over the Internet. Tim Berners-Lee invented the World Wide Web in 1989.
Question: who invented the world wide web
Are follow up questions needed here: No.
So the final answer is: Tim Berners-Lee ###","[[(False, False)]]"
Question: who is credited as the author of the odyssey,"Context1: The Odyssey: The Odyssey is an ancient Greek epic poem attributed to the poet Homer. It is one of the two major ancient Greek epic poems attributed to him, the other being the Iliad.
Question: who is credited as the author of the odyssey
Are follow up questions needed here: No.
So the final answer is: Homer ###","[[(False, False)]]"
Question: how many teams are in the nba,"Context1: The NBA: The National Basketball Association (NBA) is a professional basketball league in North America comprising 30 teams. It is one of the four major professional sports leagues in the United States and Canada.
Question: how many teams are in the nba
Are follow up questions needed here: No.
So the final answer is: 30 ###","[[(False, False)]]"
Question: who designed the statue of liberty,"Context1: Statue of Liberty: The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor. It was a gift from France to the United States and was designed by French sculptor Frédéric Auguste Bartholdi.
Question: who designed the statue of liberty
Are follow up questions needed here: No.
So the final answer is: Frédéric Auguste Bartholdi ###","[[(False, False)]]"
Question: what did christopher columbus accomplish,"Context1: Christopher Columbus: Christopher Columbus was an Italian explorer and navigator who completed four voyages across the Atlantic Ocean, opening the way for the widespread European exploration and colonization of the Americas.
Question: what did christopher columbus accomplish
Are follow up questions needed here: No.
So the final answer is: He completed four voyages across the Atlantic Ocean, opening the way for the European exploration and colonization of the Americas. ###","[[(False, False)]]"
Question: who is the founder of buddhism,"Context1: Buddhism: Buddhism is a nontheistic religion or philosophy that encompasses a variety of traditions, beliefs, and spiritual practices largely based on teachings attributed to the Buddha, meaning ""the awakened one"", an honorific title for Siddhārtha Gautama.
Question: who is the founder of buddhism
Are follow up questions needed here: No.
So the final answer is: Siddhārtha Gautama (the Buddha) ###","[[(False, False)]]"
Question: which is the oldest of the seven wonders of the ancient world,"Context1: The Seven Wonders of the Ancient World: The Great Pyramid of Giza is the oldest of the Seven Wonders of the Ancient World and the only one to remain largely intact.
Question: which is the oldest of the seven wonders of the ancient world
Are follow up questions needed here: No.
So the final answer is: The Great Pyramid of Giza ###","[[(False, False)]]"
Question: where are niagara falls located,"Context1: Niagara Falls: Niagara Falls is a group of three waterfalls at the southern end of Niagara Gorge, spanning the border between the province of Ontario in Canada and the state of New York in the United States.
Question: where are niagara falls located
Are follow up questions needed here: No.
So the final answer is: On the border between Ontario, Canada and New York, USA ###","[[(False, False)]]"
Question: who founded the red cross,"Context1: The Red Cross: The Red Cross is a humanitarian organization founded by Henry Dunant in 1863 in Switzerland, notable for providing emergency assistance, disaster relief, and education in communities hit by disasters.
Question: who founded the red cross
Are follow up questions needed here: No.
So the final answer is: Henry Dunant ###","[[(False, False)]]"
Question: who created star wars,"Context1: Star Wars: The Star Wars film series created by George Lucas details the adventures of various characters ""a long time ago in a galaxy far, far away"", involving elements of good and evil, the Force, and Jedi.
Question: who created star wars
Are follow up questions needed here: No.
So the final answer is: George Lucas ###","[[(False, False)]]"
Question: how many books are in the chronicles of narnia series,"Context1: The Chronicles of Narnia: The Chronicles of Narnia is a series of seven high fantasy novels by C. S. Lewis. The series revolves around the adventures of children in the fictional world of Narnia.
Question: how many books are in the chronicles of narnia series
Are follow up questions needed here: No.
So the final answer is: Seven ###","[[(False, False)]]"
Question: how many works did mozart compose,"Context1: Wolfgang Amadeus Mozart: Mozart was a prolific and influential composer of the Classical period, composing over 600 works including symphonies, concertos, chamber music, and operas.
Question: how many works did mozart compose
Are follow up questions needed here: No.
So the final answer is: Over 600 works ###","[[(False, False)]]"
Question: what was the purpose of the great wall of china,"Context1: The Great Wall of China: The Great Wall of China is a series of fortifications that were built across the historical northern borders of China to protect and consolidate territories of Chinese states and empires against various nomadic groups.
Question: what was the purpose of the great wall of china
Are follow up questions needed here: No.
So the final answer is: To protect and consolidate territories against various nomadic groups. ###","[[(False, False)]]"
Question: who was the first black president of south africa,"Context1: Nelson Mandela: Nelson Mandela was a South African anti-apartheid revolutionary and political leader who served as President of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election.
Question: who was the first black president of south africa
Are follow up questions needed here: No.
So the final answer is: Nelson Mandela ###","[[(False, False)]]"
Question: where is the golden gate bridge,"Context1: The Golden Gate Bridge: The Golden Gate Bridge is a suspension bridge spanning the Golden Gate, the one-mile-wide strait connecting San Francisco Bay and the Pacific Ocean. It is located in San Francisco, California.
Question: where is the golden gate bridge
Are follow up questions needed here: No.
So the final answer is: San Francisco, California ###","[[(False, False)]]"
Question: in which city is the leaning tower located,"Context1: The Leaning Tower of Pisa: The Leaning Tower of Pisa is a freestanding bell tower, of the cathedral of the Italian city of Pisa, known for its nearly four-degree lean.
Question: in which city is the leaning tower located
Are follow up questions needed here: No.
So the final answer is: Pisa ###","[[(False, False)]]"
Question: what is galileo galilei known for,"Context1: Galileo Galilei: Galileo was an Italian astronomer, physicist, and engineer, sometimes described as a polymath. His achievements include improvements to the telescope and consequent astronomical observations and support for Copernicanism.
Question: what is galileo galilei known for
Are follow up questions needed here: No.
So the final answer is: Improvements to the telescope and support for Copernicanism ###","[[(False, False)]]"
Question: what is the famous equation from einstein's theory of relativity,"Context1: Einstein's Theory of Relativity: The theory of relativity, proposed by Albert Einstein, includes both the Special and General theories of relativity. The Special theory introduced the famous equation E=mc².
Question: what is the famous equation from einstein's theory of relativity
Are follow up questions needed here: No.
So the final answer is: E=mc² ###","[[(False, False)]]"
Question: who wrote the three musketeers,"Context1: The Three Musketeers: ""The Three Musketeers"" is a novel written by French author Alexandre Dumas. The book follows d'Artagnan, who leaves home to join the Musketeers of the Guard.
Question: who wrote the three musketeers
Are follow up questions needed here: No.
So the final answer is: Alexandre Dumas ###","[[(False, False)]]"
Question: when did the american revolution end,"Context1: The American Revolution: The American Revolution was an ideological and colonial revolt which occurred between 1765 and 1783. The American Patriots in the Thirteen Colonies won independence from Great Britain, becoming the United States of America.
Question: when did the american revolution end
Are follow up questions needed here: No.
So the final answer is: 1783 ###","[[(False, False)]]"
Question: who was the last queen of france before the french revolution,"Context1: Marie Antoinette: Marie Antoinette was the last Queen of France before the French Revolution. She became dauphine of France in May 1770 at age 14 upon her marriage to Louis-Auguste, heir apparent to the French throne.
Question: who was the last queen of france before the french revolution
Are follow up questions needed here: No.
So the final answer is: Marie Antoinette ###","[[(False, False)]]"
Question: which four presidents are on mount rushmore,"Context1: Mount Rushmore: Mount Rushmore National Memorial is centered around a sculpture carved into the granite face of Mount Rushmore in the Black Hills in Keystone, South Dakota. Sculptor Gutzon Borglum designed the sculpture, which features the 60-foot heads of four United States presidents.
Question: which four presidents are on mount rushmore
Are follow up questions needed here: No.
So the final answer is: George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln ###","[[(False, False)]]"
Question: what is the main theme of shakespeare's romeo and juliet,"Context1: Shakespeare's Romeo and Juliet: ""Romeo and Juliet"" is a tragedy written by William Shakespeare early in his career about two young star-crossed lovers whose deaths ultimately reconcile their feuding families.
Question: what is the main theme of shakespeare's romeo and juliet
Are follow up questions needed here: No.
So the final answer is: The tragedy of star-crossed lovers ###","[[(False, False)]]"
Question: what is the first book of the bible,"Context1: The Book of Genesis: The Book of Genesis is the first book of the Hebrew Bible and the Christian Old Testament. It is the narrative of God's creation of the world and the origins of humanity.
Question: what is the first book of the bible
Are follow up questions needed here: No.
So the final answer is: The Book of Genesis ###","[[(False, False)]]"
Question: when was the wto established,"Context1: World Trade Organization: The World Trade Organization (WTO) is an intergovernmental organization that regulates international trade. It was officially established on January 1, 1995, replacing the General Agreement on Tariffs and Trade (GATT).
Question: when was the wto established
Are follow up questions needed here: No.
So the final answer is: January 1, 1995 ###","[[(False, False)]]"
Question: how many series of sunflower paintings did van gogh produce,"Context1: Vincent van Gogh's Sunflowers: Sunflowers is the name of two series of still life paintings by Dutch painter Vincent van Gogh. The first series, done in Paris in 1887, and the second set in Arles in 1888 with bright yellow sunflowers.
Question: how many series of sunflower paintings did van gogh produce
Are follow up questions needed here: No.
So the final answer is: Two ###","[[(False, False)]]"
Question: what is inscribed on the rosetta stone,"Context1: The Rosetta Stone: The Rosetta Stone is a granodiorite stele inscribed with a decree issued at Memphis, Egypt in 196 BC on behalf of King Ptolemy V. The decree appears in three scripts: the upper text is Ancient Egyptian hieroglyphs, the middle portion is Demotic script, and the lowest is Ancient Greek.
Question: what is inscribed on the rosetta stone
Are follow up questions needed here: No.
So the final answer is: A decree issued on behalf of King Ptolemy V. ###","[[(False, False)]]"
Question: when did the french revolution start,"Context1: The French Revolution: The French Revolution was a period of radical social and political upheaval in France from 1789 to 1799 that had a fundamental impact on French history and on modern world history.
Question: when did the french revolution start
Are follow up questions needed here: No.
So the final answer is: 1789 ###","[[(False, False)]]"
Question: how many planets are in the solar system,"Context1: Solar System: Our solar system consists of the Sun at its center with eight planets orbiting around it. These planets include Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.
Question: how many planets are in the solar system
Are follow up questions needed here: No.
So the final answer is: Eight ###","[[(False, False)]]"
Question: for what is pablo picasso famous,"Context1: Pablo Picasso: Pablo Picasso was a Spanish painter, sculptor, printmaker, ceramicist and theatre designer who spent most of his adult life in France. Regarded as one of the most influential artists of the 20th century, he is known for co-founding the Cubist movement and his revolutionary artistic style.
Question: for what is pablo picasso famous
Are follow up questions needed here: No.
So the final answer is: Co-founding the Cubist movement and his revolutionary artistic style ###","[[(False, False)]]"
Question: how many categories are there in the nobel prizes,"Context1: The Nobel Prize: The Nobel Prizes are a set of six international awards given annually in several categories including peace, literature, chemistry, physics, medicine, and economic sciences. 
Question: how many categories are there in the nobel prizes
Are follow up questions needed here: No.
So the final answer is: Six ###","[[(False, False)]]"
Question: what type of creature is the sphinx of giza,"Context1: The Sphinx of Giza: The Great Sphinx of Giza is a limestone statue of a reclining sphinx, a mythical creature with the body of a lion and the head of a human. It is located on the Giza Plateau on the west bank of the Nile in Giza, Egypt.
Question: what type of creature is the sphinx of giza
Are follow up questions needed here: No.
So the final answer is: A mythical creature with the body of a lion and the head of a human ###","[[(False, False)]]"
Question: how are french fries prepared,"Context1: French fries: French fries, also known simply as fries, are batonnet or allumette cut deep-fried potatoes. They are prepared by cutting potatoes into even strips and then frying them in oil.
Question: how are french fries prepared
Are follow up questions needed here: No.
So the final answer is: By cutting potatoes into strips and frying them in oil ###","[[(False, False)]]"
Question: which space agencies participate in the iss,"Context1: The International Space Station: The International Space Station (ISS) is a space station, or a habitable artificial satellite, in low Earth orbit. It is a joint project between five participating space agencies: NASA, Roscosmos, JAXA, ESA, and CSA.
Question: which space agencies participate in the iss
Are follow up questions needed here: No.
So the final answer is: NASA, Roscosmos, JAXA, ESA, and CSA ###","[[(False, False)]]"
Question: when did the renaissance occur,"Context1: The Renaissance: The Renaissance was a fervent period of European cultural, artistic, political, and economic ""rebirth"" following the Middle Ages. It is generally regarded as taking place from the 14th century to the 17th century.
Question: when did the renaissance occur
Are follow up questions needed here: No.
So the final answer is: From the 14th century to the 17th century ###","[[(False, False)]]"
Question: when did the irish potato famine occur,"Context1: The Irish Potato Famine: The Great Famine, also known as the Irish Potato Famine, was a period of mass starvation and disease in Ireland from 1845 to 1852. The worst year of the period was 1847, known as ""Black '47.""
Question: when did the irish potato famine occur
Are follow up questions needed here: No.
So the final answer is: From 1845 to 1852 ###","[[(False, False)]]"
Question: when was pompeii buried,"Context1: Pompeii: Pompeii was an ancient Roman city located in modern-day Italy near Naples. It was buried under 4 to 6 meters of volcanic ash and pumice in the eruption of Mount Vesuvius in 79 AD.
Question: when was pompeii buried
Are follow up questions needed here: No.
So the final answer is: 79 AD ###","[[(False, False)]]"
Question: which river carved the grand canyon,"Context1: The Grand Canyon: The Grand Canyon is a steep-sided canyon carved by the Colorado River in Arizona, United States. It is known for its visually overwhelming size and intricate and colorful landscape.
Question: which river carved the grand canyon
Are follow up questions needed here: No.
So the final answer is: The Colorado River ###","[[(False, False)]]"
Question: how many people died in the black death,"Context1: The Black Death: The Black Death was a devastating global epidemic of bubonic plague that struck Europe and Asia in the mid-1300s, killing an estimated 20 million people.
Question: how many people died in the black death
Are follow up questions needed here: No.
So the final answer is: An estimated 20 million people ###","[[(False, False)]]"
Question: who was the first person to walk on the moon,"Context1: Neil Armstrong: Neil Armstrong was an American astronaut and the first person to walk on the Moon, taking his famous step on July 20, 1969.
Question: who was the first person to walk on the moon
Are follow up questions needed here: No.
So the final answer is: Neil Armstrong ###","[[(False, False)]]"
Question: what is the structure of dna,"Context1: DNA: Deoxyribonucleic acid (DNA) is a molecule composed of two polynucleotide chains that coil around each other to form a double helix. It is the carrier of genetic information in almost all living organisms.
Question: what is the structure of dna
Are follow up questions needed here: No.
So the final answer is: A double helix ###","[[(False, False)]]"
Question: how long did the trojan war last,"Context1: The Trojan War: According to ancient Greek history, the Trojan War was waged against the city of Troy by the Achaeans (Greeks) and lasted for ten years. It is one of the famous conflicts depicted in Greek mythology.
Question: how long did the trojan war last
Are follow up questions needed here: No.
So the final answer is: Ten years ###","[[(False, False)]]"
Question: which films did james cameron direct,"Context1: James Cameron: James Cameron is a Canadian filmmaker known for making science fiction and epic films. He wrote and directed box-office hits such as The Terminator, Aliens, Titanic, and Avatar.
Question: which films did james cameron direct
Are follow up questions needed here: No.
So the final answer is: The Terminator, Aliens, Titanic, and Avatar ###","[[(False, False)]]"
Question: who carved the moai statues,"Context1: The Moai Statues: The Moai statues are monolithic human figures carved by the Rapa Nui people on Easter Island in Eastern Polynesia, mainly between 1400 and 1650.
Question: who carved the moai statues
Are follow up questions needed here: No.
So the final answer is: The Rapa Nui people ###","[[(False, False)]]"
Question: what did isaac newton formulate,"Context1: Isaac Newton: Sir Isaac Newton was an English mathematician, physicist, and astronomer who is widely recognized as one of the most influential scientists of all time and a key figure in the scientific revolution. He formulated the laws of motion and universal gravitation.
Question: what did isaac newton formulate
Are follow up questions needed here: No.
So the final answer is: The laws of motion and universal gravitation ###","[[(False, False)]]"
Question: who does the terracotta army belong to,"Context1: The Terracotta Army: The Terracotta Army is a collection of terracotta sculptures depicting the armies of Qin Shi Huang, the first Emperor of China. The figures were buried with the emperor in 210–209 BCE to protect him in the afterlife.
Question: who does the terracotta army belong to
Are follow up questions needed here: No.
So the final answer is: Qin Shi Huang, the first Emperor of China ###","[[(False, False)]]"
Question: where is the hollywood walk of fame located,"Context1: Hollywood Walk of Fame: The Hollywood Walk of Fame is an internationally recognized Hollywood icon and one of LA's more famous tourist attractions. The stars on the Walk of Fame are embedded in the sidewalks along 15 blocks of Hollywood Boulevard and three blocks of Vine Street.
Question: where is the hollywood walk of fame located
Are follow up questions needed here: No.
So the final answer is: Along Hollywood Boulevard and Vine Street ###","[[(False, False)]]"
Question: when did the wright flyer make its first flight,"Context1: The Wright Flyer: The Wright Flyer was the first successful powered aircraft, designed and built by the Wright brothers. It made its first flight on December 17, 1903, near Kitty Hawk, North Carolina.
Question: when did the wright flyer make its first flight
Are follow up questions needed here: No.
So the final answer is: December 17, 1903 ###","[[(False, False)]]"
Question: where is the kuala lumpur tower located,"Context1: Kuala Lumpur Tower: The Kuala Lumpur Tower is a communications tower located in Kuala Lumpur, Malaysia. It is the seventh tallest freestanding tower in the world and the tallest in Southeast Asia.
Question: where is the kuala lumpur tower located
Are follow up questions needed here: No.
So the final answer is: Kuala Lumpur, Malaysia ###","[[(False, False)]]"
Question: who invented dynamite,"Context1: Alfred Nobel: Alfred Nobel was a Swedish chemist, engineer, inventor, and philanthropist who is best known for inventing dynamite and for his will, which established the Nobel Prizes.
Question: who invented dynamite
Are follow up questions needed here: No.
So the final answer is: Alfred Nobel ###","[[(False, False)]]"
Question: to which goddess was the parthenon dedicated,"Context1: The Parthenon: The Parthenon is a former temple on the Athenian Acropolis, Greece, dedicated to the goddess Athena, whom the people of Athens considered their patroness.
Question: to which goddess was the parthenon dedicated
Are follow up questions needed here: No.
So the final answer is: Athena ###","[[(False, False)]]"
Question: what type of novels is agatha christie famous for,"Context1: Agatha Christie: Agatha Christie was an English writer known for her 66 detective novels and 14 short story collections, particularly those revolving around her fictional detectives Hercule Poirot and Miss Marple.
Question: what type of novels is agatha christie famous for
Are follow up questions needed here: No.
So the final answer is: Detective novels ###","[[(False, False)]]"
Question: what field was stephen hawking known for,"Context1: Stephen Hawking: Stephen Hawking was an English theoretical physicist and cosmologist whose work on black holes and theoretical predictions about the universe's beginnings have made profound impacts on the field of cosmology.
Question: what field was stephen hawking known for
Are follow up questions needed here: No.
So the final answer is: Cosmology ###","[[(False, False)]]"
