question,text,10/Random
Question: who is known as the founder of modern nursing,"Context1: Florence Nightingale: Florence Nightingale was an English social reformer, statistician, and the founder of modern nursing. She became famous for her pioneering work in nursing during the Crimean War. Question: who is known as the founder of modern nursing Are follow up questions needed here: No. So the final answer is: Florence Nightingale ###","[[(True, False)]]"
Question: where are the pyramids of giza located,"Context1: Pyramids of Giza: The Pyramids of Giza are ancient pyramid structures located on the Giza Plateau, near Cairo, Egypt. They were built as tombs for the Pharaohs and are one of the Seven Wonders of the Ancient World. Question: where are the pyramids of giza located Are follow up questions needed here: No. So the final answer is: Egypt ###","[[(True, False)]]"
Question: who was the first president of the united states,"Context1: George Washington: George Washington was an American political leader, military general, statesman, and Founding Father who served as the first president of the United States from 1789 to 1797. Question: who was the first president of the united states Are follow up questions needed here: No. So the final answer is: George Washington ###","[[(True, False)]]"
Question: what is the name of the largest ancient amphitheater in the world,"Context1: The Coliseum: The Coliseum, also known as the Flavian Amphitheatre, is an ancient amphitheater in the center of Rome, Italy. It is the largest ancient amphitheater ever built, and despite its age, it is still the largest standing amphitheater in the world today. Question: what is the name of the largest ancient amphitheater in the world Are follow up questions needed here: No. So the final answer is: The Coliseum ###","[[(True, False)]]"
Question: who was the first person to win two Nobel Prizes,"Context1: Marie Curie: Born in Warsaw, Poland, Marie Curie was a physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize. Question: who was the first person to win two Nobel Prizes Are follow up questions needed here: No. So the final answer is: Marie Curie ###","[[(True, False)]]"
Question: who was the first black president of South Africa,Context1: Nelson Mandela: Nelson Mandela was a South African anti-apartheid revolutionary and political leader. He served as President of South Africa from 1994 to 1999 and was the first black head of state in South African history. Question: who was the first black president of South Africa Are follow up questions needed here: No. So the final answer is: Nelson Mandela ###,"[[(True, False)]]"
Question: who is famous for the equation E=mc^2,"Context1: Albert Einstein: Albert Einstein was a theoretical physicist who is known for developing the theory of relativity, one of the two pillars of modern physics. He is best known for his equation E=mc^2. Question: who is famous for the equation E=mc^2 Are follow up questions needed here: No. So the final answer is: Albert Einstein ###","[[(True, False)]]"
Question: what is the tallest mountain in the world,"Context1: Mount Everest: Mount Everest is Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas. The China–Nepal border runs across its summit point. Question: what is the tallest mountain in the world Are follow up questions needed here: No. So the final answer is: Mount Everest ###","[[(True, False)]]"
"Question: which band recorded the album ""Sgt. Pepper's Lonely Hearts Club Band""","Context1: The Beatles: The Beatles were an English rock band formed in Liverpool in 1960. They became the most influential band of the rock era and are often regarded as the foremost and most influential music band in the history of popular music. Question: which band recorded the album ""Sgt. Pepper's Lonely Hearts Club Band"" Are follow up questions needed here: No. So the final answer is: The Beatles ###","[[(True, False)]]"
Question: who invented the light bulb,"Context1: Thomas Edison: Thomas Edison was an American inventor and businessman who developed many devices including the phonograph, the motion picture camera, and the electric light bulb. Question: who invented the light bulb Are follow up questions needed here: No. So the final answer is: Thomas Edison ###","[[(True, False)]]"
Question: where is the eiffel tower located,"Context1: Eiffel Tower: The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower. Question: where is the eiffel tower located Are follow up questions needed here: No. So the final answer is: Paris, France ###","[[(True, False)]]"
"Question: who composed ""symphony no. 40 in g minor""","Context1: Mozart's symphonies: Wolfgang Amadeus Mozart was a prolific and influential composer of the Classical period. He composed more than 600 works, many of which are acknowledged as pinnacles of symphonic, concertante, chamber music, operatic, and choral music. Question: who composed ""symphony no. 40 in g minor"" Are follow up questions needed here: No. So the final answer is: Wolfgang Amadeus Mozart ###","[[(True, False)]]"
Question: what country gifted the statue of liberty to the united states,Context1: The Statue of Liberty: The Statue of Liberty is a colossal neoclassical sculpture on Liberty Island in New York Harbor in the United States. The statue was a gift from the people of France to the United States. Question: what country gifted the statue of liberty to the united states Are follow up questions needed here: No. So the final answer is: France ###,"[[(True, False)]]"
"Question: who painted ""the starry night""","Context1: Vincent van Gogh: Vincent van Gogh was a Dutch post-impressionist painter, widely regarded as one of the most influential figures in Western art. He created more than 2,100 artworks, including ""Starry Night"" and ""The Sunflowers."" Question: who painted ""the starry night"" Are follow up questions needed here: No. So the final answer is: Vincent van Gogh ###","[[(True, False)]]"
Question: who led india to independence using non-violence,Context1: Mahatma Gandhi: Mahatma Gandhi was a leader of the Indian independence movement against British colonial rule. He is considered an icon of peace and non-violence worldwide. Question: who led india to independence using non-violence Are follow up questions needed here: No. So the final answer is: Mahatma Gandhi ###,"[[(True, False)]]"
Question: what is the longest wall in the world,"Context1: The Great Wall of China: The Great Wall of China is an ancient series of walls and fortifications, totaling more than 13,000 miles in length, located in northern China. Originally conceived by Emperor Qin Shi Huang in the third century B.C. as a means of preventing incursions from barbarian nomads. Question: what is the longest wall in the world Are follow up questions needed here: No. So the final answer is: The Great Wall of China ###","[[(True, False)]]"
"Question: who wrote ""romeo and juliet""","Context1: William Shakespeare: William Shakespeare was an English playwright, poet, and actor, widely regarded as one of the greatest writers in the English language and the world's greatest dramatist. His extant works, including collaborations, consist of some 39 plays, 154 sonnets, and three long narrative poems. Question: who wrote ""romeo and juliet"" Are follow up questions needed here: No. So the final answer is: William Shakespeare ###","[[(True, False)]]"
Question: what is the name of the statue gifted to the usa by france,"Context1: Statue of Liberty: The Statue of Liberty is a colossal statue on Liberty Island in New York Harbor in the United States. Designed by French sculptor Frédéric Auguste Bartholdi and dedicated on October 28, 1886, it was a gift from the people of France. Question: what is the name of the statue gifted to the usa by france Are follow up questions needed here: No. So the final answer is: Statue of Liberty ###","[[(True, False)]]"
"Question: who wrote ""principia mathematica""?","Context1: Isaac Newton: Sir Isaac Newton was an English mathematician, physicist, astronomer, and author. He is widely recognized as one of the most influential scientists of all time and a key figure in the scientific revolution. His book ""Mathematical Principles of Natural Philosophy,"" first published in 1687, laid the foundations for classical mechanics. Question: who wrote ""principia mathematica""? Are follow up questions needed here: No. So the final answer is: Isaac Newton ###","[[(True, False)]]"
Question: which is the largest river by volume of water?,"Context1: The Amazon River: The Amazon River is the largest river by discharge volume of water in the world, and by some definitions, it is the longest in length. Located in South America, its drainage basin covers parts of Brazil, Peru, and several other countries. Question: which is the largest river by volume of water? Are follow up questions needed here: No. So the final answer is: The Amazon River ###","[[(True, False)]]"
Question: who founded modern nursing?,"Context1: Florence Nightingale: Florence Nightingale was an English social reformer, statistician, and the founder of modern nursing. She became renowned for her work during the Crimean War, where she organized the care of wounded soldiers. Question: who founded modern nursing? Are follow up questions needed here: No. So the final answer is: Florence Nightingale ###","[[(True, False)]]"
Question: where is the eiffel tower located?,"Context1: Eiffel Tower: The Eiffel Tower is a landmark wrought-iron lattice tower on the Champ de Mars in Paris, France, designed by engineer Gustave Eiffel. It was completed in 1889 as the entrance arch to the 1889 World's Fair. Question: where is the eiffel tower located? Are follow up questions needed here: No. So the final answer is: Paris, France ###","[[(True, False)]]"
Question: which canyon is located in arizona and carved by the colorado river?,"Context1: The Grand Canyon: The Grand Canyon is a steep-sided canyon carved by the Colorado River in Arizona, United States. It is often considered one of the wonders of the natural world. Question: which canyon is located in arizona and carved by the colorado river? Are follow up questions needed here: No. So the final answer is: The Grand Canyon ###","[[(True, False)]]"
"Question: who is known as ""the mother of the civil rights movement""?","Context1: Rosa Parks: Rosa Parks was an American activist in the civil rights movement best known for her pivotal role in the Montgomery bus boycott. She became an international icon of resistance to racial segregation. Question: who is known as ""the mother of the civil rights movement""? Are follow up questions needed here: No. So the final answer is: Rosa Parks ###","[[(True, False)]]"
Question: what is the ancient series of walls built to protect china?,"Context1: The Great Wall of China: The Great Wall of China is a series of fortifications made of stone, brick, tamped earth, wood, and other materials. It was built along the northern border of China to protect against invasions. Question: what is the ancient series of walls built to protect china? Are follow up questions needed here: No. So the final answer is: The Great Wall of China ###","[[(True, False)]]"
"Question: who painted ""sunflowers""?","Context1: Vincent van Gogh's Paintings: Vincent van Gogh was a Dutch post-impressionist painter. Among his works are some of the world's best-known and most expensive pieces, such as ""Starry Night,"" ""Sunflowers,"" and ""The Bedroom."" Question: who painted ""sunflowers""? Are follow up questions needed here: No. So the final answer is: Vincent van Gogh ###","[[(True, False)]]"
Question: who developed the theory of relativity?,"Context1: Albert Einstein: Albert Einstein was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics. He also made significant contributions to the development of the theory of quantum mechanics. Question: who developed the theory of relativity? Are follow up questions needed here: No. So the final answer is: Albert Einstein ###","[[(True, False)]]"
Question: where is the colosseum located?,"Context1: The Colosseum: The Colosseum, an ancient amphitheater located in Rome, Italy, is the largest ever built. It is considered one of the greatest works of Roman architecture and engineering. Question: where is the colosseum located? Are follow up questions needed here: No. So the final answer is: Rome, Italy ###","[[(True, False)]]"
"Question: who composed ""the marriage of figaro""?","Context1: Mozart: Wolfgang Amadeus Mozart was a prolific and influential composer of the classical era known for composing more than 600 works, including symphonies, operas, and chamber music. Question: who composed ""the marriage of figaro""? Are follow up questions needed here: No. So the final answer is: Wolfgang Amadeus Mozart ###","[[(True, False)]]"
Question: where is mount everest located?,"Context1: The Himalayas: The Himalayas are a mountain range in Asia separating the plains of the Indian subcontinent from the Tibetan Plateau. The range has some of Earth's highest peaks, including the highest, Mount Everest. Question: where is mount everest located? Are follow up questions needed here: No. So the final answer is: Himalayas ###","[[(True, False)]]"
Question: who was the first woman to win a Nobel Prize?,Context1: Marie Curie: Marie Curie was a physicist and chemist who conducted pioneering research on radioactivity. She was the first woman to win a Nobel Prize and the only person to win Nobel Prizes in two different sciences. Question: who was the first woman to win a Nobel Prize? Are follow up questions needed here: No. So the final answer is: Marie Curie ###,"[[(True, False)]]"
Question: which is the largest tropical rainforest in the world?,Context1: The Amazon Rainforest: The Amazon Rainforest is a large tropical rainforest occupying the drainage basin of the Amazon River and its tributaries in northern South America. It is the world's largest tropical rainforest. Question: which is the largest tropical rainforest in the world? Are follow up questions needed here: No. So the final answer is: The Amazon Rainforest ###,"[[(True, False)]]"
Question: who was the 16th President of the United States?,"Context1: Abraham Lincoln: Abraham Lincoln served as the 16th President of the United States from 1861 until his assassination in 1865. He led the nation through its greatest moral, constitutional, and political crisis in the Civil War. Question: who was the 16th President of the United States? Are follow up questions needed here: No. So the final answer is: Abraham Lincoln ###","[[(True, False)]]"
"Question: who wrote ""othello""?","Context1: William Shakespeare: William Shakespeare is recognized as one of the greatest playwrights and writers of the English language. His works include numerous plays like ""Hamlet"", ""Othello"", and ""Macbeth"". Question: who wrote ""othello""? Are follow up questions needed here: No. So the final answer is: William Shakespeare ###","[[(True, False)]]"
Question: which sea is almost completely enclosed by land and connected to the Atlantic Ocean?,"Context1: The Mediterranean Sea: The Mediterranean Sea is a sea connected to the Atlantic Ocean, surrounded by the Mediterranean region and almost completely enclosed by land. Question: which sea is almost completely enclosed by land and connected to the Atlantic Ocean? Are follow up questions needed here: No. So the final answer is: The Mediterranean Sea ###","[[(True, False)]]"
Question: who is credited with discovering America for Europe?,"Context1: Christopher Columbus: Christopher Columbus was an Italian explorer who completed four voyages across the Atlantic Ocean, which opened the way for European exploration and colonization of the Americas. Question: who is credited with discovering America for Europe? Are follow up questions needed here: No. So the final answer is: Christopher Columbus ###","[[(True, False)]]"
Question: where is the Taj Mahal located?,"Context1: The Taj Mahal: The Taj Mahal is a white marble mausoleum located in Agra, India. It was commissioned in 1632 by the Mughal emperor Shah Jahan to house the tomb of his favorite wife, Mumtaz Mahal. Question: where is the Taj Mahal located? Are follow up questions needed here: No. So the final answer is: Agra, India ###","[[(True, False)]]"
"Question: who painted ""the last supper""?","Context1: Leonardo da Vinci: Leonardo da Vinci was an Italian polymath of the Renaissance period. His areas of expertise included painting, drawing, engineering, science, music, mathematics, and anatomy. Question: who painted ""the last supper""? Are follow up questions needed here: No. So the final answer is: Leonardo da Vinci ###","[[(True, False)]]"
Question: what is widely considered the longest river in the world?,"Context1: The Nile River: The Nile is a major north-flowing river in northeastern Africa, commonly regarded as the longest river in the world. Question: what is widely considered the longest river in the world? Are follow up questions needed here: No. So the final answer is: The Nile River ###","[[(True, False)]]"
"Question: who composed ""symphony no. 5""?","Context1: Beethoven: Ludwig van Beethoven was a German composer and pianist, a crucial figure in the transition between the Classical and Romantic eras in classical music. Question: who composed ""symphony no. 5""? Are follow up questions needed here: No. So the final answer is: Ludwig van Beethoven ###","[[(True, False)]]"
Question: who discovered radium and polonium?,"Context1: Marie Curie's Achievements: Marie Curie is noted for her discovery of polonium and radium, and her immense contribution to the study of radioactivity. She was the first woman to win a Nobel Prize. Question: who discovered radium and polonium? Are follow up questions needed here: No. So the final answer is: Marie Curie ###","[[(True, False)]]"
Question: what was the period of renewed interest in culture and arts called in Europe?,"Context1: The Renaissance: The Renaissance was a fervent period of European cultural, artistic, political, and economic “rebirth” following the Middle Ages. It promoted the rediscovery of classical philosophy, literature, and arts. Question: what was the period of renewed interest in culture and arts called in Europe? Are follow up questions needed here: No. So the final answer is: The Renaissance ###","[[(True, False)]]"
Question: what is the largest hot desert in the world?,Context1: The Sahara Desert: The Sahara is the largest hot desert in the world and the third largest desert overall after Antarctica and the Arctic. It covers much of North Africa. Question: what is the largest hot desert in the world? Are follow up questions needed here: No. So the final answer is: The Sahara Desert ###,"[[(True, False)]]"
Question: who was the first black president of South Africa?,Context1: Nelson Mandela: Nelson Mandela was an anti-apartheid revolutionary and the first black president of South Africa. His presidency marked the end of apartheid. Question: who was the first black president of South Africa? Are follow up questions needed here: No. So the final answer is: Nelson Mandela ###,"[[(True, False)]]"
Question: where is the Amazon River located?,"Context1: The Amazon River: The Amazon River, located in South America, is the largest river by discharge volume of water in the world and possibly the longest in length. Question: where is the Amazon River located? Are follow up questions needed here: No. So the final answer is: South America ###","[[(True, False)]]"
Question: who was the first man to walk on the moon?,"Context1: Moon Landing 1969: The Apollo 11 mission was the first successful manned mission to land on the Moon on July 20, 1969, with astronauts Neil Armstrong and Buzz Aldrin. Question: who was the first man to walk on the moon? Are follow up questions needed here: No. So the final answer is: Neil Armstrong ###","[[(True, False)]]"
Question: where is the Amazon Basin primarily located?,"Context1: The Amazon Basin: The Amazon Basin covers an area of approximately 7 million square kilometers, and is home to vast biodiversity, unique ecosystems, and is mainly in Brazil. Question: where is the Amazon Basin primarily located? Are follow up questions needed here: No. So the final answer is: Brazil ###","[[(True, False)]]"
Question: who is considered the founder of modern nursing?,Context1: Florence Nightingale: Florence Nightingale laid the foundation of professional nursing with the establishment of her nursing school at St Thomas' Hospital in London in 1860. Question: who is considered the founder of modern nursing? Are follow up questions needed here: No. So the final answer is: Florence Nightingale ###,"[[(True, False)]]"
Question: who is credited with inventing the light bulb?,"Context1: Thomas Edison: An inventor of profound legacy, Thomas Edison developed many devices such as the phonograph and the electric light bulb. Question: who is credited with inventing the light bulb? Are follow up questions needed here: No. So the final answer is: Thomas Edison ###","[[(True, False)]]"
"Question: which ancient pyramids are located in Cairo, Egypt?","Context1: The Pyramids of Giza: The Pyramids of Giza are ancient pyramid-shaped masonry structures located in the Giza Plateau, Cairo, Egypt. They are the oldest of the Seven Wonders of the Ancient World, and the only one to remain largely intact. Question: which ancient pyramids are located in Cairo, Egypt? Are follow up questions needed here: No. So the final answer is: The Pyramids of Giza ###","[[(True, False)]]"
Question: who sculpted the statue of David?,"Context1: Michelangelo: Michelangelo, an Italian Renaissance sculptor, painter, architect, and poet, is known for works such as the statue of David and painting the Sistine Chapel ceiling. Question: who sculpted the statue of David? Are follow up questions needed here: No. So the final answer is: Michelangelo ###","[[(True, False)]]"
Question: where is Mount Kilimanjaro located?,Context1: Mount Kilimanjaro: Mount Kilimanjaro is a dormant volcano in Tanzania. It is the highest mountain in Africa. Question: where is Mount Kilimanjaro located? Are follow up questions needed here: No. So the final answer is: Tanzania ###,"[[(True, False)]]"
"Question: who painted ""The Last Supper""?","Context1: Leonardo da Vinci: Leonardo da Vinci was a polymath during the Renaissance who is widely acclaimed for his artworks such as ""Mona Lisa"" and ""The Last Supper."" Question: who painted ""The Last Supper""? Are follow up questions needed here: No. So the final answer is: Leonardo da Vinci ###","[[(True, False)]]"
Question: what famous ceiling was painted by Michelangelo?,"Context1: The Sistine Chapel: The Sistine Chapel is a chapel in the Apostolic Palace, the official residence of the Pope in Vatican City, and renowned for its Renaissance frescoes by Michelangelo. Question: what famous ceiling was painted by Michelangelo? Are follow up questions needed here: No. So the final answer is: The Sistine Chapel ceiling ###","[[(True, False)]]"
Question: who was the last active pharaoh of Egypt?,Context1: Cleopatra VII: Cleopatra VII was the last active ruler of the Ptolemaic Kingdom of Egypt. Question: who was the last active pharaoh of Egypt? Are follow up questions needed here: No. So the final answer is: Cleopatra VII ###,"[[(True, False)]]"
Question: who was the first woman awarded a Nobel Prize?,"Context1: Marie Curie: Marie Curie, a pioneer in the field of radioactivity, was the first woman to win a Nobel Prize and the only person to win in two different sciences. Question: who was the first woman awarded a Nobel Prize? Are follow up questions needed here: No. So the final answer is: Marie Curie ###","[[(True, False)]]"
Question: what is the longest wall built for defense in China?,"Context1: The Great Wall of China: Built for the protection against invasions, the Great Wall of China extends over 13,000 miles. Question: what is the longest wall built for defense in China? Are follow up questions needed here: No. So the final answer is: The Great Wall of China ###","[[(True, False)]]"
Question: which ancient amphitheater is an iconic landmark in Rome?,"Context1: The Colosseum: The Colosseum is an iconic symbol of Ancient Rome, used for gladiatorial contests and public spectacles. It is the largest ancient amphitheater ever built. Question: which ancient amphitheater is an iconic landmark in Rome? Are follow up questions needed here: No. So the final answer is: The Colosseum ###","[[(True, False)]]"
Question: who formulated the laws of motion and universal gravitation?,"Context1: Isaac Newton: Known for discoveries in gravitational force and motion, Sir Isaac Newton's work laid the foundation for classical mechanics. Question: who formulated the laws of motion and universal gravitation? Are follow up questions needed here: No. So the final answer is: Isaac Newton ###","[[(True, False)]]"
